Sample_ID	Negative	Picogreen	Sample_type	Generation	Hive	BeeNum	Pair	CopyNum_norm	Inoculum_type
FH1-3.F1	FALSE	21.75	Feces	1	1	3	1_1_3	1547313.221	
FH1-5.F1	FALSE	2.53	Feces	1	1	5	1_1_5	198170.2185	
FH1-6.F1	FALSE	5.07	Feces	1	1	6	1_1_6	729520.4822	
FH1-8.F1	FALSE	20.97	Feces	1	1	8	1_1_8	1255393.562	
FH1-10.F1	FALSE	19.07	Feces	1	1	10	1_1_10	2489364.532	
FH5-2.F1	FALSE	17.66	Feces	1	5	2	1_5_2	408820.0991	
FH5-3.F1	FALSE	21.21	Feces	1	5	3	1_5_3	1021021.353	
FH5-5.F1	FALSE	14.9	Feces	1	5	5	1_5_5	1146734.112	
FH5-9.F1	FALSE	19.67	Feces	1	5	9	1_5_9	630634.806	
FH5-10.F1	FALSE	7.56	Feces	1	5	10	1_5_10	41993.17502	
FH10-2.F1	FALSE	16.83	Feces	1	10	2	1_10_2	1159980.817	
FH10-4.F1	FALSE	5.23	Feces	1	10	4	1_10_4	15036.96397	
FH10-5.F1	FALSE	22.93	Feces	1	10	5	1_10_5	2081554.973	
FH10-6.F1	FALSE	15.74	Feces	1	10	6	1_10_6	866087.2075	
FH10-7.F1	FALSE	18.24	Feces	1	10	7	1_10_7	672141.3771	
FH15-1.F1	FALSE	12.88	Feces	1	15	1	1_15_1	623199.401	
FH15-2.F1	FALSE	0.58	Feces	1	15	2	1_15_2	5873.049929	
FH15-4.F1	FALSE	12.3	Feces	1	15	4	1_15_4	499388.4495	
FH15-6.F1	FALSE	20.05	Feces	1	15	6	1_15_6	1095652.638	
FH15-7.F1	FALSE	0.06	Feces	1	15	7	1_15_7	648.6825247	
GH1-3.G1	FALSE	20.31	Gut	1	1	3	1_1_3	73183291.05	
GH1-5.G1	FALSE	22.24	Gut	1	1	5	1_1_5	33206150.24	
GH1-6.G1	FALSE	28.39	Gut	1	1	6	1_1_6	14039413.8	
GH1-8.G1	FALSE	22.41	Gut	1	1	8	1_1_8	48498884.25	
GH1-10.G1	FALSE	19.64	Gut	1	1	10	1_1_10	37217604.67	
GH5-2.G1	FALSE	26.19	Gut	1	5	2	1_5_2	26318150.73	
GH5-3.G1	FALSE	19.4	Gut	1	5	3	1_5_3	19360689.8	
GH5-5.G1	FALSE	20.26	Gut	1	5	5	1_5_5	20748697.71	
GH5-9.G1	FALSE	8.39	Gut	1	5	9	1_5_9	19826685.06	
GH5-10.G1	FALSE	23.56	Gut	1	5	10	1_5_10	302021057.9	
GH10-2.G1	FALSE	18.96	Gut	1	10	2	1_10_2	19759812.08	
GH10-4.G1	FALSE	18.77	Gut	1	10	4	1_10_4	33769894.84	
GH10-5.G1	FALSE	24.58	Gut	1	10	5	1_10_5	12173726.5	
GH10-6.G1	FALSE	20.8	Gut	1	10	6	1_10_6	35355958.45	
GH10-7.G1	FALSE	21.75	Gut	1	10	7	1_10_7	30630739.67	
GH15-1.G1	FALSE	18.8	Gut	1	15	1	1_15_1	150563566.4	
GH15-2.G1	FALSE	18.74	Gut	1	15	2	1_15_2	3412686.316	
GH15-4.G1	FALSE	24.43	Gut	1	15	4	1_15_4	31781504.21	
GH15-6.G1	FALSE	19.51	Gut	1	15	6	1_15_6	7198020.818	
GH15-7.G1	FALSE	1.8	Gut	1	15	7	1_15_7	37536.6099	
FH1-3.F2	FALSE	23.09	Gut-Feces	2	1	3	2_1_3	40304260.14	Diluted_feces
FH1-5.F2	FALSE	22.98	Gut-Feces	2	1	5	2_1_5	27995867.73	Diluted_feces
FH1-6.F2	FALSE	22.73	Gut-Feces	2	1	6	2_1_6	32685016.2	Diluted_feces
