	Kingdom	Phylum	Class	Order	Family	Genus	Species	Annotated
ASV1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	Gilliamella		Gilliamella
ASV2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	apis	Lactobacillus Firm5
ASV3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	alvi	Snodgrassella
ASV4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		Lactobacillus Firm5
ASV5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	melliventris	Lactobacillus Firm5
ASV6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	Frischella	perrara	Frischella
ASV7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		Lactobacillus Firm5
ASV8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus		Bombilactobacillus Firm4
ASV9	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast
ASV10	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	asteroides	Bifidobacterium
ASV11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus		Apilactobacillus
ASV12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		Lactobacillus Firm5
ASV13	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Commensalibacter		Commensalibacter
ASV14	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	alvi	Snodgrassella
ASV15	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria	Family_Mitochondria	Family_Mitochondria
ASV16	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	Frischella		Frischella
ASV17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus		Bombilactobacillus Firm4
ASV18	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella		Klebsiella
ASV19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus		Bombilactobacillus Firm4
ASV20	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	alvi	Snodgrassella
ASV21	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	Frischella		Frischella
ASV22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Family_Rhizobiaceae	Family_Rhizobiaceae	Family_Rhizobiaceae
ASV23	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		Lactobacillus Firm5
ASV24	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella		Tatumella
ASV25	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus		Bombilactobacillus Firm4
ASV26	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus		Bombilactobacillus Firm4
ASV27	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Lonsdalea		Lonsdalea
ASV28	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria	Family_Mitochondria	Family_Mitochondria
ASV29	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		Bifidobacterium
ASV30	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	asteroides	Bifidobacterium
ASV31	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia-Obesumbacterium		Hafnia-Obesumbacterium
